Run,Assay Type,HOST,isolation_source,Library Name,Sample Name,LibraryLayout,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,lat_lon,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,SRA Study
SRR8061763,AMPLICON,Homo sapiens,feces,MCI31,AD01,PAIRED,601,33601571,PRJNA496408,SAMN10240677,Metagenome or environmental,22088657,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891243,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
SRR8061762,AMPLICON,Homo sapiens,feces,MCI32,AD01,PAIRED,601,27375768,PRJNA496408,SAMN10240677,Metagenome or environmental,18147129,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891244,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
SRR8061761,AMPLICON,Homo sapiens,feces,MCI33,AD01,PAIRED,601,21732314,PRJNA496408,SAMN10240677,Metagenome or environmental,13699815,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891245,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
SRR8061760,AMPLICON,Homo sapiens,feces,MCI34,AD01,PAIRED,601,38089496,PRJNA496408,SAMN10240677,Metagenome or environmental,25269461,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891246,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
SRR8061759,AMPLICON,Homo sapiens,feces,NC01,AD01,PAIRED,601,26867015,PRJNA496408,SAMN10240677,Metagenome or environmental,17738067,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891247,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
SRR8061758,AMPLICON,Homo sapiens,feces,NC02,AD01,PAIRED,601,27097404,PRJNA496408,SAMN10240677,Metagenome or environmental,17675189,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891248,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
SRR8061757,AMPLICON,Homo sapiens,feces,NC03,AD01,PAIRED,601,21898388,PRJNA496408,SAMN10240677,Metagenome or environmental,14458678,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891249,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
SRR8061756,AMPLICON,Homo sapiens,feces,NC04,AD01,PAIRED,601,28906904,PRJNA496408,SAMN10240677,Metagenome or environmental,19182867,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891250,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
SRR8061755,AMPLICON,Homo sapiens,feces,NC05,AD01,PAIRED,601,24785763,PRJNA496408,SAMN10240677,Metagenome or environmental,16307172,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891251,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
SRR8061780,AMPLICON,Homo sapiens,feces,NC06,AD01,PAIRED,601,25682060,PRJNA496408,SAMN10240677,Metagenome or environmental,16940595,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891226,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
SRR8061781,AMPLICON,Homo sapiens,feces,NC07,AD01,PAIRED,601,29609628,PRJNA496408,SAMN10240677,Metagenome or environmental,19350737,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891225,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
SRR8061782,AMPLICON,Homo sapiens,feces,NC08,AD01,PAIRED,601,26890266,PRJNA496408,SAMN10240677,Metagenome or environmental,17939061,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891224,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
SRR8061783,AMPLICON,Homo sapiens,feces,NC09,AD01,PAIRED,601,22060469,PRJNA496408,SAMN10240677,Metagenome or environmental,14532539,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891223,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
SRR8061784,AMPLICON,Homo sapiens,feces,NC10,AD01,PAIRED,601,33494649,PRJNA496408,SAMN10240677,Metagenome or environmental,21940402,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891222,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
SRR8061785,AMPLICON,Homo sapiens,feces,NC11,AD01,PAIRED,601,26381289,PRJNA496408,SAMN10240677,Metagenome or environmental,17444763,ZHEJIANG UNIVERSITY,2017-01-15,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX4891221,China,Asia,China:Hangzhou,Illumina MiSeq,30.3 N 120.2 E,PCR,GENOMIC,human gut metagenome,ILLUMINA,2019-11-15T00:00:00Z,2018-10-16T06:23:00Z,1,SRP165827
